slno,idx,audio_filepath,person,sex,start_sample,end_sample,start_second,end_second,duration_second,vowel_type
0,23297,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MJEB1/SI837.WAV,MJEB1,M,35600,37320,2.225,2.3325,0.1075,iy
1,13257,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MAHH0/SX304.WAV,MAHH0,M,4479,7240,0.2799375,0.4525,0.1725625,iy
2,9265,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FMCM0/SI550.WAV,FMCM0,F,19843,20553,1.2401875,1.2845625,0.044375,iy
3,35760,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/FGCS0/SA1.WAV,FGCS0,F,27779,28574,1.7361875,1.785875,0.0496875,iy
4,22811,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MDAC0/SX181.WAV,MDAC0,M,41400,43800,2.5875,2.7375,0.15,ae
5,78361,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MTCS0/SX442.WAV,MTCS0,M,47571,49640,2.9731875,3.1025,0.1293125,ae
6,9321,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FMCM0/SX370.WAV,FMCM0,F,2840,4135,0.1775,0.2584375,0.0809375,ae
7,21321,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FECD0/SI788.WAV,FECD0,F,20710,22475,1.294375,1.4046875,0.1103125,ae
8,13374,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MBPM0/SX317.WAV,MBPM0,M,8319,9524,0.5199375,0.59525,0.0753125,er
9,14618,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MLIH0/SX283.WAV,MLIH0,M,33462,35258,2.091375,2.203625,0.11225,er
10,67168,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FKSR0/SX161.WAV,FKSR0,F,40360,41800,2.5225,2.6125,0.09,er
11,37005,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/FSJS0/SA1.WAV,FSJS0,F,20973,21880,1.3108125,1.3675,0.0566875,er
12,44110,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MWDK0/SA1.WAV,MWDK0,M,11620,13133,0.72625,0.8208125,0.0945625,aa
13,16174,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/MJFC0/SI1033.WAV,MJFC0,M,6100,7506,0.38125,0.469125,0.087875,aa
14,54753,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FLOD0/SI1287.WAV,FLOD0,F,30090,31248,1.880625,1.953,0.072375,aa
15,21758,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FMEM0/SA1.WAV,FMEM0,F,49634,50920,3.102125,3.1825,0.080375,aa
16,33325,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRJH0/SI914.WAV,MRJH0,M,26180,27864,1.63625,1.7415,0.10525,uw
17,41779,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MMEB0/SI1357.WAV,MMEB0,M,31039,32040,1.9399375,2.0025,0.0625625,uw
18,7908,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FADG0/SX19.WAV,FADG0,F,4840,6200,0.3025,0.3875,0.085,uw
19,63175,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FSGF0/SI927.WAV,FSGF0,F,62932,64662,3.93325,4.041375,0.108125,uw
20,78366,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MTCS0/SX82.WAV,MTCS0,M,14720,15999,0.92,0.9999375,0.0799375,ih
21,60469,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MSEM1/SA1.WAV,MSEM1,M,52006,53176,3.250375,3.3235,0.073125,ih
22,12335,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/FHES0/SX119.WAV,FHES0,F,4680,6040,0.2925,0.3775,0.085,ih
23,67595,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FMKC0/SA2.WAV,FMKC0,F,19049,19843,1.1905625,1.2401875,0.049625,ih
24,3126,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MDLD0/SX283.WAV,MDLD0,M,20249,20973,1.2655625,1.3108125,0.04525,ao
25,34973,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MZMB0/SX266.WAV,MZMB0,M,6433,8731,0.4020625,0.5456875,0.143625,ao
26,62610,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FPAD0/SA1.WAV,FPAD0,F,43906,45640,2.744125,2.8525,0.108375,ao
27,20918,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FCJF0/SA1.WAV,FCJF0,F,29660,31719,1.85375,1.9824375,0.1286875,ao
28,39004,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MDHS0/SI2160.WAV,MDHS0,M,32320,33320,2.02,2.0825,0.0625,axr
29,42173,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MPRD0/SI801.WAV,MPRD0,M,45880,47160,2.8675,2.9475,0.08,axr
30,27697,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/FPJF0/SI1259.WAV,FPJF0,F,39840,40538,2.49,2.533625,0.043625,axr
31,55712,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FSMM0/SX54.WAV,FSMM0,F,39381,41107,2.4613125,2.5691875,0.107875,axr
32,34805,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MWSB0/SI2256.WAV,MWSB0,M,5386,7561,0.336625,0.4725625,0.1359375,ow
33,50630,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MMDM0/SX321.WAV,MMDM0,M,29451,31560,1.8406875,1.9725,0.1318125,ow
34,12097,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/FCAL1/SI773.WAV,FCAL1,F,24953,26440,1.5595625,1.6525,0.0929375,ow
35,15588,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/FMGD0/SI934.WAV,FMGD0,F,18240,19968,1.14,1.248,0.108,ow
36,64529,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MKES0/SX173.WAV,MKES0,M,54964,56040,3.43525,3.5025,0.06725,ix
37,49860,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MLBC0/SX159.WAV,MLBC0,M,39234,40600,2.452125,2.5375,0.085375,ix
38,54284,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FKKH0/SI660.WAV,FKKH0,F,12657,13400,0.7910625,0.8375,0.0464375,ix
39,54214,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FJXM0/SX41.WAV,FJXM0,F,63263,63879,3.9539375,3.9924375,0.0385,ix
40,10973,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/MPCS0/SI729.WAV,MPCS0,M,2427,4708,0.1516875,0.29425,0.1425625,eh
41,50190,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MLJH0/SI1422.WAV,MLJH0,M,3530,5453,0.220625,0.3408125,0.1201875,eh
42,37277,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/FSKC0/SI1416.WAV,FSKC0,F,8360,9566,0.5225,0.597875,0.075375,eh
43,28142,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/FSKL0/SX449.WAV,FSKL0,F,33963,35049,2.1226875,2.1905625,0.067875,eh
44,65841,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MTJU0/SA2.WAV,MTJU0,M,24396,26861,1.52475,1.6788125,0.1540625,oy
45,60478,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MSEM1/SA2.WAV,MSEM1,M,23773,26234,1.4858125,1.639625,0.1538125,oy
46,61841,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FAPB0/SX433.WAV,FAPB0,F,36400,39812,2.275,2.48825,0.21325,oy
47,76233,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/FKLH0/SX357.WAV,FKLH0,F,4784,7240,0.299,0.4525,0.1535,oy
48,3928,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MRCZ0/SI2171.WAV,MRCZ0,M,25640,28440,1.6025,1.7775,0.175,ay
49,58035,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MJFH0/SX117.WAV,MJFH0,M,18840,22224,1.1775,1.389,0.2115,ay
50,19550,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR8/FCMH1/SA2.WAV,FCMH1,F,34379,36120,2.1486875,2.2575,0.1088125,ay
51,55061,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FPMY0/SX343.WAV,FPMY0,F,6851,8090,0.4281875,0.505625,0.0774375,ay
52,29181,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDLB0/SI1306.WAV,MDLB0,M,61720,62760,3.8575,3.9225,0.065,ax
53,59253,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MPMB0/SI1501.WAV,MPMB0,M,84852,85771,5.30325,5.3606875,0.0574375,ax
54,61887,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/FBCH0/SI1586.WAV,FBCH0,F,12931,13785,0.8081875,0.8615625,0.053375,ax
55,53652,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FEAR0/SX172.WAV,FEAR0,F,47661,48455,2.9788125,3.0284375,0.049625,ax
56,73424,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MREM0/SX151.WAV,MREM0,M,32000,33169,2.0,2.0730625,0.0730625,ux
57,59063,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MMVP0/SX294.WAV,MMVP0,M,35425,41399,2.2140625,2.5874375,0.373375,ux
58,46182,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/FSSB0/SI1712.WAV,FSSB0,F,2673,3160,0.1670625,0.1975,0.0304375,ux
59,11848,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/FASW0/SI920.WAV,FASW0,F,39710,40160,2.481875,2.51,0.028125,ux
60,25407,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MWAD0/SX342.WAV,MWAD0,M,29937,33282,1.8710625,2.080125,0.2090625,aw
61,41941,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MMJB1/SX148.WAV,MMJB1,M,34695,37240,2.1684375,2.3275,0.1590625,aw
62,26631,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/FEAC0/SX345.WAV,FEAC0,F,17960,20804,1.1225,1.30025,0.17775,aw
63,44670,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/FBMJ0/SI516.WAV,FBMJ0,F,63794,66885,3.987125,4.1803125,0.1931875,aw
64,71962,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MJDG0/SX322.WAV,MJDG0,M,2640,3321,0.165,0.2075625,0.0425625,ah
65,72581,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MKDB0/SX242.WAV,MKDB0,M,22450,24160,1.403125,1.51,0.106875,ah
66,66865,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FJSK0/SI1052.WAV,FJSK0,F,39290,40670,2.455625,2.541875,0.08625,ah
67,66917,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/FJSK0/SX242.WAV,FJSK0,F,22972,24313,1.43575,1.5195625,0.0838125,ah
68,72484,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MKAG0/SX439.WAV,MKAG0,M,44600,46820,2.7875,2.92625,0.13875,ey
69,52766,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MTRC0/SX170.WAV,MTRC0,M,44280,46715,2.7675,2.9196875,0.1521875,ey
70,55078,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/FPMY0/SX73.WAV,FPMY0,F,29409,31240,1.8380625,1.9525,0.1144375,ey
71,16994,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR7/FGWR0/SX408.WAV,FGWR0,F,18826,20360,1.176625,1.2725,0.095875,ey
72,13665,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MCTT0/SA1.WAV,MCTT0,M,33169,34116,2.0730625,2.13225,0.0591875,uh
73,41345,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MKXL0/SX195.WAV,MKXL0,M,2786,3640,0.174125,0.2275,0.053375,uh
74,45253,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/FJWB1/SX75.WAV,FJWB1,F,16520,17480,1.0325,1.0925,0.06,uh
75,21663,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/FKFB0/SI1608.WAV,FKFB0,F,43960,45080,2.7475,2.8175,0.07,uh
76,77336,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MKRG0/SX141.WAV,MKRG0,M,8382,8727,0.523875,0.5454375,0.0215625,ax-h
77,48920,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MJMM0/SI1255.WAV,MJMM0,M,24280,24640,1.5175,1.54,0.0225,ax-h
78,399,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/FJEM0/SI1264.WAV,FJEM0,F,19512,19978,1.2195,1.248625,0.029125,ax-h
79,9268,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/FMCM0/SI550.WAV,FMCM0,F,28741,29326,1.7963125,1.832875,0.0365625,ax-h
